from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,name,in_service
1,3,1.0,0.45156402322371464,21.893450698081036,0.0,0.31063770261768114,Line 1-3,True
1,7,1.0,5.836984671137258,10.598595076488825,0.0,3.5620922160593156,Line 1-7,True
3,0,1.0,1.7416456874976916,10.193067699832467,0.0,1.4755804689727692,Line 3-0,True
3,2,1.0,0.7489954016901798,30.818812705720777,0.0,0.18497957654932298,Line 3-2,True
7,9,1.0,54.801741133854975,196.8895110448438,0.0,0.1274407310915706,Line 7-10,True
7,6,1.0,1.736719340883019,8.65113123377445,0.0,0.38126833058041926,Line 7-6,True
0,5,1.0,0.6753035403253181,10.8335744711862,0.0,0.8316461571837931,Line 0-5,True
2,8,1.0,3.9761231361993827,42.39059961308612,0.0,0.17176155849361036,Line 2-9,True
8,6,1.0,4.644316129821805,89.46698825626845,0.0,4.458443017119456,Line 9-6,True
4,5,1.0,138.73256527440768,63.34114670167603,0.0,1.0235655390626102,Line 4-5,True
